Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
1712110549.279512,443,1712110549,0,GPS1_Frame,42.30294000000001,-71.150975,63.3,322704.796697281,4685652.645232354,19,T,6.4,
1712110550.2795832,444,1712110550,0,GPS1_Frame,42.30297,-71.15099000000001,63.5,322703.644471972,4685656.007755573,19,T,1.7,
1712110551.2793314,445,1712110551,0,GPS1_Frame,42.30298166666667,-71.150985,63.7,322704.0893671924,4685657.292829371,19,T,1.7,
1712110552.2795844,446,1712110552,0,GPS1_Frame,42.30298666666666,-71.15097833333333,63.9,322704.6529302949,4685657.834148751,19,T,1.7,
1712110553.2809145,447,1712110553,0,GPS1_Frame,42.30299333333334,-71.150975,64.3,322704.94640796684,4685658.567484401,19,T,1.7,
1712110554.2803845,448,1712110554,0,GPS1_Frame,42.303005,-71.15097333333333,64.7,322705.1165390728,4685659.859504116,19,T,1.7,
1712110555.2794805,449,1712110555,0,GPS1_Frame,42.30302833333334,-71.15097,64.9,322705.45680115663,4685662.443543562,19,T,1.7,
1712110556.2796342,450,1712110556,0,GPS1_Frame,42.303065,-71.15096333333332,65.1,322706.10925414774,4685666.501200234,19,T,1.7,
1712110557.2805383,451,1712110557,0,GPS1_Frame,42.30312666666667,-71.15095833333334,64.9,322706.6945014441,4685673.3383855745,19,T,1.7,
1712110558.2803388,452,1712110558,0,GPS1_Frame,42.30319166666666,-71.15094666666667,64.8,322707.8386308761,4685680.531820205,19,T,1.7,
1712110559.278715,453,1712110559,0,GPS1_Frame,42.30325666666666,-71.15094333333333,64.9,322708.295851928,4685687.742619391,19,T,6.4,
1712110560.2814717,454,1712110560,0,GPS1_Frame,42.303335,-71.15096166666667,65.1,322707.0045449501,4685696.479129338,19,T,1.7,
1712110561.2798312,455,1712110561,0,GPS1_Frame,42.303414999999994,-71.15100333333334,64.9,322703.7945868314,4685705.449331543,19,T,1.7,
1712110562.2787764,456,1712110562,0,GPS1_Frame,42.30348333333333,-71.151065,64.7,322698.90331715543,4685713.165719588,19,T,3.0,
1712110563.2783074,457,1712110563,0,GPS1_Frame,42.303538333333336,-71.15114,64.3,322692.87558228185,4685719.429333817,19,T,3.0,
1712110564.2783554,458,1712110564,0,GPS1_Frame,42.303583333333336,-71.15122833333334,64.2,322685.72073916113,4685724.610317888,19,T,3.0,
1712110565.2772224,459,1712110565,0,GPS1_Frame,42.30361666666666,-71.151325,64.3,322677.8462489388,4685728.513184291,19,T,3.0,
1712110566.2783537,460,1712110566,0,GPS1_Frame,42.30363833333334,-71.151425,64.7,322669.6642496989,4685731.127514336,19,T,3.0,
1712110567.2787871,461,1712110567,0,GPS1_Frame,42.30368,-71.15154166666666,64.9,322660.1646086481,4685735.997437315,19,T,6.4,
1712110568.2780507,462,1712110568,0,GPS1_Frame,42.303729999999995,-71.15164666666666,65.0,322651.65004250937,4685741.768407406,19,T,6.4,
1712110569.2776313,463,1712110569,0,GPS1_Frame,42.30379166666667,-71.15173166666666,65.1,322644.8168137437,4685748.793191058,19,T,6.4,
1712110570.2784276,464,1712110570,0,GPS1_Frame,42.30386,-71.15179166666667,65.1,322640.06302061875,4685756.506149338,19,T,6.4,
1712110571.2785158,465,1712110571,0,GPS1_Frame,42.303943333333336,-71.15185,65.2,322635.4887423802,4685765.881270613,19,T,6.4,
1712110572.2789137,466,1712110572,0,GPS1_Frame,42.30402833333333,-71.15189166666667,65.2,322632.29295432224,4685775.406721446,19,T,6.4,
1712110573.2825139,467,1712110573,0,GPS1_Frame,42.30411833333333,-71.15193500000001,65.3,322628.97383839556,4685785.490859883,19,T,6.4,
1712110574.2798834,468,1712110574,0,GPS1_Frame,42.30420833333333,-71.15197666666667,65.5,322625.7921123506,4685795.571525768,19,T,1.7,
1712110575.2813888,469,1712110575,0,GPS1_Frame,42.30430333333334,-71.15201833333334,65.8,322622.6244390891,4685806.2074048035,19,T,1.7,
1712110576.2799895,470,1712110576,0,GPS1_Frame,42.30441333333333,-71.15206666666667,65.5,322618.949389949,4685818.522818396,19,T,1.7,
1712110577.279933,471,1712110577,0,GPS1_Frame,42.304516666666665,-71.15210833333335,66.1,322615.80514538765,4685830.084053674,19,T,1.7,
1712110578.280608,472,1712110578,0,GPS1_Frame,42.304625,-71.15214999999999,66.4,322612.6749561487,4685842.200502181,19,T,1.7,
1712110579.2807238,473,1712110579,0,GPS1_Frame,42.304741666666665,-71.15220333333333,66.4,322608.60653895466,4685855.266629292,19,T,1.7,
1712110580.2810948,474,1712110580,0,GPS1_Frame,42.30485166666667,-71.15225333333333,66.6,322604.7941687891,4685867.585527664,19,T,1.7,
1712110581.2804415,475,1712110581,0,GPS1_Frame,42.30496,-71.15230333333334,67.0,322600.97713210515,4685879.719358292,19,T,1.7,
1712110582.280466,476,1712110582,0,GPS1_Frame,42.30506666666667,-71.15235166666666,67.4,322597.2928059465,4685891.664645988,19,T,1.7,
1712110583.2799752,477,1712110583,0,GPS1_Frame,42.30516833333333,-71.1524,67.9,322593.59444858355,4685903.054724848,19,T,1.7,
1712110584.280094,478,1712110584,0,GPS1_Frame,42.305275,-71.15246,68.1,322588.9485116266,4685915.0243449975,19,T,1.7,
1712110585.27847,479,1712110585,0,GPS1_Frame,42.305384999999994,-71.15253333333334,68.5,322583.21294243995,4685927.39191354,19,T,1.7,
1712110586.2788522,480,1712110586,0,GPS1_Frame,42.30548999999999,-71.152605,68.8,322577.60072471795,4685939.200800622,19,T,1.7,
1712110587.2790165,481,1712110587,0,GPS1_Frame,42.30559333333334,-71.15267999999999,68.7,322571.709092326,4685950.831573929,19,T,1.7,
1712110588.2801461,482,1712110588,0,GPS1_Frame,42.305686666666666,-71.15275166666667,69.0,322566.06413734145,4685961.344978471,19,T,1.7,
1712110589.2792752,483,1712110589,0,GPS1_Frame,42.305778333333336,-71.15282333333333,69.2,322560.4145175479,4685971.673317757,19,T,1.7,
1712110590.2790172,484,1712110590,0,GPS1_Frame,42.305865,-71.15289666666666,69.2,322554.61349098,4685981.449926882,19,T,1.7,
1712110591.279033,485,1712110591,0,GPS1_Frame,42.30595166666667,-71.15297333333334,69.9,322548.5377304499,4685991.233493815,19,T,1.7,
1712110592.2799668,486,1712110592,0,GPS1_Frame,42.30603666666666,-71.15305166666667,70.7,322542.3199291151,4686000.835472495,19,T,1.7,
1712110593.2797291,487,1712110593,0,GPS1_Frame,42.30611833333334,-71.15313666666665,71.7,322535.5432782152,4686010.08122217,19,T,1.7,
1712110594.2799037,488,1712110594,0,GPS1_Frame,42.30618666666666,-71.15320666666666,72.5,322529.9655513174,4686017.8151258705,19,T,1.7,
1712110595.280463,489,1712110595,0,GPS1_Frame,42.30625833333333,-71.15328,73.0,322524.12245506654,4686025.926128834,19,T,1.7,
1712110596.2800124,490,1712110596,0,GPS1_Frame,42.30632166666666,-71.15334833333333,73.6,322518.6680771102,4686033.101354266,19,T,1.7,
1712110597.2796025,491,1712110597,0,GPS1_Frame,42.30636500000001,-71.15341,74.5,322513.70699995884,4686038.041830731,19,T,1.7,
1712110598.27977,492,1712110598,0,GPS1_Frame,42.306400000000004,-71.15345166666665,75.1,322510.3710028761,4686042.015234618,19,T,1.7,
1712110599.280624,493,1712110599,0,GPS1_Frame,42.30643166666667,-71.15346666666666,75.9,322509.22363208665,4686045.562866977,19,T,1.7,
1712110600.2800548,494,1712110600,0,GPS1_Frame,42.306464999999996,-71.15347166666668,76.4,322508.90519299125,4686049.274708017,19,T,1.7,
1712110601.279579,495,1712110601,0,GPS1_Frame,42.306513333333335,-71.15347666666666,76.7,322508.62891243194,4686054.652183636,19,T,1.7,
1712110602.2793467,496,1712110602,0,GPS1_Frame,42.306558333333335,-71.15345666666667,76.4,322510.4038765141,4686059.607363316,19,T,1.7,
1712110603.2805324,497,1712110603,0,GPS1_Frame,42.30661333333334,-71.15344499999999,76.4,322511.52007305506,4686065.690351216,19,T,1.7,
1712110604.2809017,498,1712110604,0,GPS1_Frame,42.30667333333334,-71.15341666666667,76.7,322514.0240595925,4686072.293781518,19,T,1.7,
1712110605.2803273,499,1712110605,0,GPS1_Frame,42.30675166666666,-71.15337166666667,77.3,322517.953303853,4686080.898219661,19,T,1.7,
1712110606.2810864,500,1712110606,0,GPS1_Frame,42.30682,-71.15332,77.1,322522.4039300011,4686088.378329689,19,T,1.7,
1712110607.280973,501,1712110607,0,GPS1_Frame,42.30689333333333,-71.15326833333333,76.8,322526.8685985864,4686096.413653867,19,T,1.7,
1712110608.2805178,502,1712110608,0,GPS1_Frame,42.30695833333333,-71.15320166666667,76.9,322532.54619860125,4686103.492338852,19,T,1.7,
1712110609.2803078,503,1712110609,0,GPS1_Frame,42.30702333333333,-71.15313166666667,76.8,322538.49853378686,4686110.5640752325,19,T,1.7,
1712110610.2804792,504,1712110610,0,GPS1_Frame,42.30710333333333,-71.15305833333333,76.6,322544.7677536061,4686119.2944983225,19,T,1.7,
1712110611.280509,505,1712110611,0,GPS1_Frame,42.30717333333334,-71.152975,76.5,322551.83309600083,4686126.893646255,19,T,1.7,
1712110612.2808354,506,1712110612,0,GPS1_Frame,42.307255000000005,-71.15290499999999,76.2,322557.83222343726,4686135.816103229,19,T,1.7,
1712110613.2807791,507,1712110613,0,GPS1_Frame,42.30732833333333,-71.15281833333333,76.4,322565.1816465043,4686143.778452689,19,T,1.7,
1712110614.2813978,508,1712110614,0,GPS1_Frame,42.30739833333334,-71.15274833333334,75.9,322571.14796462446,4686151.405426703,19,T,1.7,
1712110615.281232,509,1712110615,0,GPS1_Frame,42.307473333333334,-71.15268999999999,75.5,322576.16671279864,4686159.611947236,19,T,1.7,
1712110616.2807045,510,1712110616,0,GPS1_Frame,42.30754166666667,-71.15265500000001,75.5,322579.24351177074,4686167.126848477,19,T,1.7,
1712110617.280988,511,1712110617,0,GPS1_Frame,42.307610000000004,-71.15263666666667,75.5,322580.94658613694,4686174.676507477,19,T,1.7,
1712110618.280775,512,1712110618,0,GPS1_Frame,42.307640000000006,-71.15260833333333,75.4,322583.36619163025,4686177.948690993,19,T,1.7,
1712110619.2814305,513,1712110619,0,GPS1_Frame,42.307665,-71.15258166666668,75.3,322585.63437606837,4686180.6691392865,19,T,1.7,
1712110620.2819955,514,1712110620,0,GPS1_Frame,42.307698333333335,-71.15258333333333,74.9,322585.5906520806,4686184.374025392,19,T,1.7,
1712110621.2811658,515,1712110621,0,GPS1_Frame,42.307706666666675,-71.15255333333333,74.8,322588.08675371937,4686185.2368180035,19,T,1.7,
1712110622.2806761,516,1712110622,0,GPS1_Frame,42.30771,-71.15250833333333,75.0,322591.80515270215,4686185.513120658,19,T,1.7,
1712110623.2809799,517,1712110623,0,GPS1_Frame,42.30770333333333,-71.15245666666667,75.1,322596.04494513536,4686184.665100593,19,T,1.7,
1712110624.281294,518,1712110624,0,GPS1_Frame,42.30769166666667,-71.15239333333334,75.1,322601.2322942198,4686183.23754457,19,T,1.7,
1712110625.2806132,519,1712110625,0,GPS1_Frame,42.30767833333333,-71.15232333333333,75.0,322606.9644502236,4686181.611021257,19,T,1.7,
1712110626.280047,520,1712110626,0,GPS1_Frame,42.307673333333334,-71.15225666666667,74.9,322612.44527355075,4686180.9168054275,19,T,1.7,
1712110627.2795665,521,1712110627,0,GPS1_Frame,42.307675,-71.15218833333333,74.6,322618.0821955645,4686180.959401054,19,T,1.7,
1712110628.2801783,522,1712110628,0,GPS1_Frame,42.30767666666667,-71.15211,74.8,322624.543347522,4686180.981152266,19,T,1.7,
1712110629.279928,523,1712110629,0,GPS1_Frame,42.307671666666664,-71.15203,74.9,322631.12314608647,4686180.259152658,19,T,1.7,
1712110630.2794814,524,1712110630,0,GPS1_Frame,42.30765833333333,-71.15194,75.2,322638.50377112697,4686178.590959379,19,T,1.7,
1712110631.2810407,525,1712110631,0,GPS1_Frame,42.307648333333326,-71.15184166666667,75.5,322646.58061969816,4686177.275543068,19,T,1.7,
1712110632.279294,526,1712110632,0,GPS1_Frame,42.30763333333333,-71.15173166666666,75.7,322655.6050317469,4686175.380605114,19,T,1.7,
1712110633.2806838,527,1712110633,0,GPS1_Frame,42.30761833333333,-71.15162000000001,75.8,322664.7668198903,4686173.482204895,19,T,1.7,
1712110634.2808073,528,1712110634,0,GPS1_Frame,42.30759666666666,-71.151505,75.7,322674.184635964,4686170.836587071,19,T,1.7,
1712110635.2794836,529,1712110635,0,GPS1_Frame,42.30757833333334,-71.15138666666667,75.9,322683.8865619012,4686168.554175839,19,T,1.7,
1712110636.2791314,530,1712110636,0,GPS1_Frame,42.307559999999995,-71.15127000000001,75.9,322693.45112149464,4686166.275251676,19,T,1.7,
1712110637.2796624,531,1712110637,0,GPS1_Frame,42.307545,-71.15115333333333,76.1,322703.02504514763,4686164.366481761,19,T,1.7,
1712110638.2798586,532,1712110638,0,GPS1_Frame,42.30753333333334,-71.15104666666666,75.9,322711.7840992474,4686162.848704608,19,T,1.7,
1712110639.2805867,533,1712110639,0,GPS1_Frame,42.307518333333334,-71.15093666666667,75.8,322720.80854304857,4686160.953851662,19,T,1.7,
1712110640.2797737,534,1712110640,0,GPS1_Frame,42.307495,-71.150815,75.9,322730.7712030492,4686158.109348864,19,T,1.7,
1712110641.2801561,535,1712110641,0,GPS1_Frame,42.307468333333325,-71.15069166666667,76.0,322740.8618860697,4686154.89124695,19,T,1.7,
1712110642.2802982,536,1712110642,0,GPS1_Frame,42.30743833333333,-71.15056833333333,76.0,322750.94322169106,4686151.303018853,19,T,1.7,
1712110643.2813046,537,1712110643,0,GPS1_Frame,42.30740333333333,-71.15044666666667,75.9,322760.87316153746,4686147.163066216,19,T,1.7,
1712110644.2810054,538,1712110644,0,GPS1_Frame,42.30736666666667,-71.15032500000001,75.7,322770.7984350623,4686142.838057523,19,T,1.7,
1712110645.280829,539,1712110645,0,GPS1_Frame,42.307325000000006,-71.15019666666667,75.3,322781.2591785627,4686137.943964906,19,T,1.7,
1712110646.280327,540,1712110646,0,GPS1_Frame,42.307288333333325,-71.15006833333334,74.9,322791.7339666707,4686133.605099821,19,T,1.7,
1712110647.2799907,541,1712110647,0,GPS1_Frame,42.30725166666666,-71.14994166666666,74.5,322802.0713944483,4686129.269722101,19,T,1.7,
1712110648.2801404,542,1712110648,0,GPS1_Frame,42.307215,-71.14982166666667,73.7,322811.8593435632,4686124.948244453,19,T,1.7,
1712110649.2800987,543,1712110649,0,GPS1_Frame,42.30717833333333,-71.1497,73.4,322821.7846769512,4686120.62330994,19,T,1.7,
1712110650.2788599,544,1712110650,0,GPS1_Frame,42.307145000000006,-71.14957666666666,72.9,322831.85674643004,4686116.665060103,19,T,1.7,
1712110651.2786033,545,1712110651,0,GPS1_Frame,42.307115,-71.14945666666668,72.6,322841.66343185137,4686113.083907077,19,T,1.7,
1712110652.2803273,546,1712110652,0,GPS1_Frame,42.30708666666666,-71.14933833333333,72.4,322851.3374289494,4686109.691308879,19,T,1.7,
1712110653.2790725,547,1712110653,0,GPS1_Frame,42.30706166666667,-71.14922499999999,72.1,322860.60866571707,4686106.679275688,19,T,1.7,
1712110654.2788548,548,1712110654,0,GPS1_Frame,42.30704166666666,-71.14911833333333,71.7,322869.34444189025,4686104.236346276,19,T,1.7,
1712110655.281133,549,1712110655,0,GPS1_Frame,42.307021666666664,-71.14901333333334,71.4,322877.94285049336,4686101.796897736,19,T,1.7,
1712110656.2809422,550,1712110656,0,GPS1_Frame,42.307005,-71.14890999999999,71.1,322886.41324005113,4686099.731070487,19,T,1.7,
1712110657.2808247,551,1712110657,0,GPS1_Frame,42.30699666666666,-71.14881,71.0,322894.63225824654,4686098.597544884,19,T,1.7,
1712110658.2794743,552,1712110658,0,GPS1_Frame,42.30699333333334,-71.14869999999999,70.9,322903.68953926396,4686097.998424553,19,T,1.7,
1712110659.2809327,553,1712110659,0,GPS1_Frame,42.30699333333334,-71.1486,70.2,322911.9319294224,4686097.790271642,19,T,1.7,
1712110660.2791936,554,1712110660,0,GPS1_Frame,42.307,-71.14849666666667,69.6,322920.46775957255,4686098.315472328,19,T,1.7,
1712110661.2804434,555,1712110661,0,GPS1_Frame,42.307015,-71.148385,69.8,322929.7138194841,4686099.748691689,19,T,1.7,
1712110662.2799585,556,1712110662,0,GPS1_Frame,42.307030000000005,-71.14826166666667,70.3,322939.92148657085,4686101.157642942,19,T,1.7,
1712110663.2815776,557,1712110663,0,GPS1_Frame,42.30704666666667,-71.14815833333334,70.0,322948.48534482333,4686102.79330024,19,T,1.7,
1712110664.280024,558,1712110664,0,GPS1_Frame,42.307064999999994,-71.14805833333334,69.5,322956.7791249879,4686104.620974845,19,T,1.7,
1712110665.2807682,559,1712110665,0,GPS1_Frame,42.30708833333333,-71.14795333333333,69.2,322965.4990359873,4686106.993466216,19,T,1.7,
1712110666.280974,560,1712110666,0,GPS1_Frame,42.307115,-71.14784666666667,69.0,322974.365657505,4686109.732641247,19,T,1.7,
1712110667.2807186,561,1712110667,0,GPS1_Frame,42.307143333333336,-71.14774000000001,68.7,322983.23694336216,4686112.656897738,19,T,1.7,
1712110668.2809894,562,1712110668,0,GPS1_Frame,42.30717500000001,-71.14763500000001,68.4,322991.9801916684,4686115.954773721,19,T,1.7,
1712110669.2805161,563,1712110669,0,GPS1_Frame,42.307205,-71.147535,68.4,323000.30664184503,4686119.077992147,19,T,1.7,
1712110670.280131,564,1712110670,0,GPS1_Frame,42.307235000000006,-71.14743166666668,68.7,323008.90782944765,4686122.194285741,19,T,1.7,
1712110671.2807207,565,1712110671,0,GPS1_Frame,42.30726333333334,-71.14733166666666,68.9,323017.22959289444,4686125.132453378,19,T,1.7,
1712110672.2803214,566,1712110672,0,GPS1_Frame,42.30728166666666,-71.14723333333333,69.6,323025.3859522139,4686126.963674892,19,T,1.7,
1712110673.2791133,567,1712110673,0,GPS1_Frame,42.307295,-71.14714833333333,69.8,323032.4293153253,4686128.267428653,19,T,1.7,
1712110674.279976,568,1712110674,0,GPS1_Frame,42.30729666666666,-71.14707,69.9,323038.8904931363,4686128.289562883,19,T,1.7,
1712110675.2802508,569,1712110675,0,GPS1_Frame,42.307280000000006,-71.14699166666666,70.3,323045.3002986428,4686126.2759281015,19,T,1.7,
1712110676.2810411,570,1712110676,0,GPS1_Frame,42.30726333333334,-71.146925,70.0,323050.7484995759,4686124.286564239,19,T,1.7,
1712110677.280172,571,1712110677,0,GPS1_Frame,42.30725833333333,-71.14686,69.9,323056.0920200016,4686123.596164166,19,T,1.7,
1712110678.2799294,572,1712110678,0,GPS1_Frame,42.30725,-71.1468,70.0,323061.014083989,4686122.546025974,19,T,1.7,
1712110679.2800922,573,1712110679,0,GPS1_Frame,42.30723666666666,-71.14675000000001,70.2,323065.097904654,4686120.961476774,19,T,1.7,
1712110680.2795572,574,1712110680,0,GPS1_Frame,42.30722166666666,-71.14671,70.4,323068.3528215953,4686119.212656011,19,T,1.7,
1712110681.2804983,575,1712110681,0,GPS1_Frame,42.30721333333333,-71.14667666666666,70.6,323071.0769272853,4686118.217982681,19,T,1.7,
1712110682.279768,576,1712110682,0,GPS1_Frame,42.307203333333334,-71.14664333333333,70.8,323073.7963642895,4686117.038239989,19,T,1.7,
1712110683.2790337,577,1712110683,0,GPS1_Frame,42.307198333333325,-71.14660666666667,70.9,323076.80455558246,4686116.4067778755,19,T,1.7,
1712110684.2791965,578,1712110684,0,GPS1_Frame,42.307190000000006,-71.146565,71.2,323080.21552702493,4686115.3947786335,19,T,1.7,
1712110685.2797675,579,1712110685,0,GPS1_Frame,42.307199999999995,-71.14652666666666,71.2,323083.4031145832,4686116.425487512,19,T,1.7,
1712110686.2801144,580,1712110686,0,GPS1_Frame,42.30721666666667,-71.14647666666666,71.0,323087.57098608126,4686118.172219586,19,T,1.7,
1712110687.2794454,581,1712110687,0,GPS1_Frame,42.30725833333333,-71.14643166666666,68.8,323091.39677180856,4686122.705407607,19,T,1.7,
1712110688.278626,582,1712110688,0,GPS1_Frame,42.30730666666667,-71.14638166666667,67.6,323095.65334556124,4686127.968482706,19,T,1.7,
1712110689.2792687,583,1712110689,0,GPS1_Frame,42.30735833333333,-71.14633166666667,66.6,323099.91925060214,4686133.601701124,19,T,1.7,
1712110690.2791836,584,1712110690,0,GPS1_Frame,42.307395,-71.14627666666667,66.7,323104.5552480911,4686137.558891798,19,T,1.7,
1712110691.2808013,585,1712110691,0,GPS1_Frame,42.30744,-71.14622,66.8,323109.3519551003,4686142.437972339,19,T,1.7,
1712110692.280745,586,1712110692,0,GPS1_Frame,42.307495,-71.146155,67.1,323114.8635261607,4686148.410152699,19,T,1.7,
1712110693.2804103,587,1712110693,0,GPS1_Frame,42.30754666666667,-71.14608,67.3,323121.18998320575,4686153.991405807,19,T,1.7,
1712110694.2800336,588,1712110694,0,GPS1_Frame,42.307595000000006,-71.14598833333334,67.0,323128.8808124908,4686159.167874132,19,T,1.7,
1712110695.2799382,589,1712110695,0,GPS1_Frame,42.307649999999995,-71.14591,66.9,323135.4913278541,4686165.112350642,19,T,1.7,
1712110696.280366,590,1712110696,0,GPS1_Frame,42.30770166666666,-71.14582999999999,67.0,323142.22986831894,4686170.683227527,19,T,1.7,
1712110697.280153,591,1712110697,0,GPS1_Frame,42.307761666666664,-71.14575666666666,67.0,323148.4422497797,4686177.193321026,19,T,1.7,
1712110698.2803826,592,1712110698,0,GPS1_Frame,42.307828333333326,-71.145685,67.1,323154.53591808386,4686184.447165973,19,T,1.7,
1712110699.2810361,593,1712110699,0,GPS1_Frame,42.30789333333334,-71.14560666666667,67.1,323161.1743916234,4686191.50208821,19,T,1.7,
1712110700.2805653,594,1712110700,0,GPS1_Frame,42.307963333333326,-71.14553333333333,67.1,323167.414740114,4686199.122620306,19,T,1.7,
1712110701.28025,595,1712110701,0,GPS1_Frame,42.30803666666667,-71.145465,67.0,323173.25229663204,4686207.123690768,19,T,1.7,
1712110702.279411,596,1712110702,0,GPS1_Frame,42.308115,-71.14539666666666,67.4,323179.1038406574,4686215.679977142,19,T,1.7,
1712110703.2807164,597,1712110703,0,GPS1_Frame,42.308201666666676,-71.14533499999999,67.7,323184.4292221406,4686225.175475821,19,T,1.7,
1712110704.2801824,598,1712110704,0,GPS1_Frame,42.30828833333333,-71.14526333333333,68.1,323190.5788119668,4686234.650195653,19,T,1.7,
1712110705.2810206,599,1712110705,0,GPS1_Frame,42.308371666666666,-71.14518833333334,68.6,323196.9937935117,4686243.747852311,19,T,1.7,
1712110706.2804859,600,1712110706,0,GPS1_Frame,42.308461666666666,-71.14511833333333,69.0,323203.01531401346,4686253.596186858,19,T,1.7,
1712110707.2810187,601,1712110707,0,GPS1_Frame,42.30855666666666,-71.14504833333334,69.1,323209.05081663607,4686263.999737595,19,T,1.7,
1712110708.2813697,602,1712110708,0,GPS1_Frame,42.30865666666667,-71.14498166666667,69.2,323214.8255610609,4686274.965431148,19,T,1.7,
1712110709.280841,603,1712110709,0,GPS1_Frame,42.30876833333333,-71.144925,68.7,323219.808733455,4686287.247401602,19,T,1.7,
1712110710.2806475,604,1712110710,0,GPS1_Frame,42.30886999999999,-71.14486833333333,68.4,323224.76389579894,4686298.418952466,19,T,1.7,
